hip_id,name,ra,dec,mag,parallax,distance_pc,bv
37664,,115.92547472783934,-40.93450610140845,5.12,14.775550351301927,67.67937411630061,1.104
37677,,115.95193084548448,-28.95480827545906,3.94,0.9731727800868006,1027.5667594307422,0.160
37704,,116.02874660307612,25.78407088430397,5.3,5.0246524233166445,199.0187411490496,1.535
37710,,116.03992416175274,-36.06212524399138,5.8,22.73391819902095,43.987138127516694,0.320
37751,,116.1423524142538,-24.674055090387718,5.62,1.685698775001117,593.2257974140946,-0.191
37752,,116.14230618424341,-37.942852628074405,5.89,5.413111450685669,184.73663605676026,-0.115
37819,,116.31367447237092,-37.96856044058731,3.62,2.9459649267338475,339.4473542183976,1.706
37891,,116.48690700885747,-14.563778570641738,5.03,14.76027235376195,67.74942738405026,0.342
37901,,116.5093474246457,-6.7729323851186,5.49,12.646429107603039,79.0737046395808,1.378
37921,,116.5673679878984,10.768139357680562,5.25,10.833363222842253,92.30743762855566,0.018
37946,,116.66382607948331,37.51745337223508,5.15,8.245193294309276,121.28278432116161,1.588
37949,,116.66728749346143,65.45575252700418,5.93,9.752765444562481,102.53502000886694,1.183
37995,,116.80227557883461,-22.519463976499303,5.9,2.7140579261503777,368.45197383771426,-0.180
38010,,116.85408208473477,-38.511120174109486,5.07,2.705285084453864,369.64680940525625,-0.112
38016,,116.87625619458441,33.4155709365502,5.14,5.554739352578901,180.0264488622188,1.635
38020,,116.88124589508425,-46.60845054394359,5.22,2.1793226024581935,458.85817862487994,-0.151
38048,,116.9858447274778,-12.192360424465246,5.48,34.72213854647776,28.800069404176742,0.478
38070,,117.0214852776532,-25.937148677856843,4.4,3.010958339278482,332.1201714931833,-0.070
38089,,117.08332992205273,-47.078073725175386,4.69,14.773540507095253,67.68858145545629,1.039
38159,,117.30356357574156,-46.85767810151854,5.82,2.5838089452111133,387.0255197674044,-0.142
38167,,117.31101070934308,-35.243247575359696,5.94,6.700463052830899,149.2434167781146,-0.051
38211,,117.42192639046708,-17.228929206524345,5.17,12.694167701004062,78.7763344201687,1.282
38253,,117.54406864793292,-9.183442468209659,5.6,1.6991510554663902,588.5291933185515,1.446
38267,,117.598789992783,-50.50965341192382,5.89,13.669232695500396,73.15699588091564,1.088
38373,,117.92489209056706,1.7668504915707803,5.12,4.002329602072465,249.8544846187044,-0.116
38375,,117.92904994670027,-21.17351000625934,5.62,11.224949196318473,89.0872628918425,0.956
38423,,118.06419139640802,-34.70437853685907,5.01,54.563099523190026,18.3274045781616,0.470
38427,,118.07862939922532,-14.846176468156491,5.69,1.4690932870985043,680.6919674754112,0.368
38438,,118.12388808016223,-54.367125332398615,5.7,2.407946611199923,415.29159963462894,-0.151
38455,,118.16097771908365,-38.86279730944278,4.49,4.13686381570797,241.72901128698703,-0.188
38497,,118.26455319173762,-36.36375796293885,5.44,4.025507345752806,248.41589248497345,1.161
38500,,118.2650856736453,-49.61297718879144,4.63,4.084498273173237,244.82811183149366,-0.228
38518,,118.3256183569648,-48.10290774132125,4.22,1.5287829356529452,654.1150981469443,-0.130
38593,,118.54585640369544,-35.87726945895484,5.48,4.104783370486734,243.61821556527664,-0.175
38639,,118.6776000975415,47.564599416037275,5.47,4.552206476653628,219.6736912371141,1.462
38656,,118.72158219128177,-57.30266990142801,5.62,9.671774320822983,103.39364493307457,1.298
38712,,118.8809364775741,8.862441705606342,5.86,25.807478423095922,38.74845824166489,0.369
38722,,118.91615543263693,19.883789987617025,5.38,6.402223768382588,156.19572763740385,-0.035
38783,,119.07766060043303,-60.526384548978456,5.74,2.3473163738493743,426.0184145352745,1.554
38846,,119.24078110358354,-43.50036083393706,5.36,1.6210405455781687,616.8877161819138,-0.166
38848,,119.24759587483304,15.790089008898876,5.8,6.981048328341601,143.24496163996005,1.285
38872,,119.32668179088469,-44.109830480211016,5.08,3.105686510320765,321.9900001744596,-0.166
38901,,119.41706711464809,-30.334542150454148,4.76,1.715673786161027,582.8613854604547,0.151
38908,,119.45011997217786,-60.3025422035792,5.59,61.835996364190315,16.17181025288868,0.573
38917,,119.46539056563456,-45.57753535195611,5.14,11.225386475615956,89.08379254221876,1.263
38962,,119.58537274339776,2.225204602073261,5.3,12.71173343169387,78.66747720705999,0.933
38994,,119.71058643583468,-60.82441134675175,5.77,2.470709046499822,404.74211296415876,-0.082
39014,,119.75743183929742,-45.21583035917402,5.98,2.8193114294133093,354.6965367384394,-0.143
39023,,119.77375621890049,-23.310385258708315,5.09,3.7377986375599686,267.53715140010837,1.111
39070,,119.9063897425201,-60.587012750445204,5.19,2.2335487872596307,447.7180018202838,1.758
39079,,119.93373161579888,-3.679597613872835,4.93,10.364491746961818,96.4832646321643,1.205
39117,,120.04877882720153,73.91775095460001,5.37,4.740668820828946,210.94070009833374,1.424
39138,,120.08317318628382,-63.56736636620579,4.81,6.993630939309204,142.98724206038457,-0.173
39177,,120.19706589573826,17.30868504406468,5.6,4.0598374060932585,246.31528309462277,1.317
39184,,120.20788036571038,-54.151233666229224,5.87,4.812867961003458,207.7763213332587,-0.134
39191,,120.23288586329133,25.392869374263277,5.87,5.307646742735129,188.4074145229721,1.021
39211,,120.30585724131599,-1.3929416337388272,4.69,7.853704573509436,127.32844616704865,1.475
39213,,120.30777111063902,4.879919992218871,5.65,10.392506775778177,96.22317517566606,0.013
39236,,120.37621987178585,16.45528731012701,5.99,6.585866276211921,151.8403134925453,-0.024
39251,,120.40634601676538,-37.28370198280764,5.9,5.737592618173744,174.28912551799408,0.147
39311,,120.56627842916214,2.335041455668743,4.39,12.523434116871659,79.85030229470308,1.252
39360,,120.6865621212735,-41.30975850944993,5.52,6.76210968749668,147.88284222141894,-0.152
39380,,120.76726602242351,-32.46350882281198,5.83,6.332068534608263,157.926275518726,1.225
39487,,121.06742601306047,-32.67480007276501,5.25,0.8125831094136867,1230.6433500956505,1.882
39527,,121.1766037014319,-50.5903895917958,5.96,2.4038545653397088,415.998544345665,1.213
39538,,121.19537462771487,79.47939124529734,5.39,9.56997757429851,104.49345280449114,-0.040
39566,,121.26547485433476,-53.10793305573958,5.52,8.568694509557629,116.70389216053712,1.347
39567,,121.26854590934383,13.117936547772764,5.14,15.810119508783904,63.250628778891425,0.018
39659,,121.57661998213968,22.635445486280666,5.96,5.429309948712544,184.1854691381417,1.652
